Brand_Name,Deal_Week,deal_id,store_id,Week,total_inventory,Elasticity,new_discount,Actual discount,Inventory,Actual Remaining Inventory,week_gross,Weekly gross actual,week_gross_td,week_nett,week_nett_td,Period,deal_recovery,date1,Inventory remaining difference,discount difference,recovery actual
Forever 21,7,934,37599,Week1,1543794.26,,19.94,0.1994,1441541.58,1441541.58,102252.68,102252.68,102252.68,81863.49561,81863.49561,History,0.674252909,2024-11-20,0,0,0.489641936
Forever 21,7,934,37599,Week2,1543794.26,,21.62,0.2162,1330225.11,1330225.11,111316.47,213569.15,213569.15,87249.84919,169113.3448,History,0.674252909,2024-11-27,0,0,0.489641936
Forever 21,7,934,37599,Week3,1543794.26,,26.52,0.2652,1183422.03,1183422.03,146803.08,360372.23,360372.23,107870.9032,276984.248,History,0.674252909,2024-12-04,0,0,0.489641936
Forever 21,7,934,37599,Week4,1543794.26,,31.08,0.3108,1027991.31,1027991.31,155430.72,515802.95,515802.95,107122.8522,384107.1002,History,0.674252909,2024-12-11,0,0,0.489641936
Forever 21,7,934,37599,Week5,1543794.26,,34.55,0.3455,830868.79,830868.79,197122.52,712925.47,712925.47,129016.6893,513123.7895,History,0.674252909,2024-12-18,0,0,0.489641936
Forever 21,7,934,37599,Week6,1543794.26,,37.19,0.3719,647863.51,647863.51,183005.28,895930.75,895930.75,114945.6164,628069.4059,History,0.674252909,2024-12-25,0,0,0.489641936
Forever 21,7,934,37599,Week7,1543794.26,0.027736681,29.5298428,0.4002,433158.7291,440853.37,214704.7809,1102940.89,1110635.531,151302.7966,779372.2025,Future_Plan,0.674252909,2025-01-01,-7694.640888,-10.4901572,0.489641936
Forever 21,7,934,37599,Week8,1543794.26,0.027736681,31.19184868,0.4193,269640.066,329399.93,163518.6631,1214394.33,1274154.194,112514.1692,891886.3717,Future_Plan,0.674252909,2025-01-08,-59759.86401,-10.73815132,0.489641936
Forever 21,7,934,37599,Week9,1543794.26,0.027736681,33.60241085,0.4436,149821.7648,225614.7,119818.3011,1318179.56,1393972.495,79556.46332,971442.835,Future_Plan,0.674252909,2025-01-15,-75792.93515,-10.75758915,0.489641936
Forever 21,7,934,37599,Week10,1543794.26,0.027736681,53.63494995,0.4663,-6.19227E-05,127350.65,149821.7649,1416443.61,1543794.26,69464.93628,1040907.771,Future_Plan,0.674252909,2025-01-22,-127350.6501,7.004949952,0.489641936
Forever 21,8,934,37599,Week1,1543794.26,,19.94,0.1994,1441541.58,1441541.58,102252.68,102252.68,102252.68,81863.49561,81863.49561,History,0.66333082,2024-11-20,0,0,0.489641936
Forever 21,8,934,37599,Week2,1543794.26,,21.62,0.2162,1330225.11,1330225.11,111316.47,213569.15,213569.15,87249.84919,169113.3448,History,0.66333082,2024-11-27,0,0,0.489641936
Forever 21,8,934,37599,Week3,1543794.26,,26.52,0.2652,1183422.03,1183422.03,146803.08,360372.23,360372.23,107870.9032,276984.248,History,0.66333082,2024-12-04,0,0,0.489641936
Forever 21,8,934,37599,Week4,1543794.26,,31.08,0.3108,1027991.31,1027991.31,155430.72,515802.95,515802.95,107122.8522,384107.1002,History,0.66333082,2024-12-11,0,0,0.489641936
Forever 21,8,934,37599,Week5,1543794.26,,34.55,0.3455,830868.79,830868.79,197122.52,712925.47,712925.47,129016.6893,513123.7895,History,0.66333082,2024-12-18,0,0,0.489641936
